gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
AT2G39420,3446.65075882326,2.27834863087613,0.197682604186186,11.5252864067406,9.838449322189541e-31,3.62067753883054e-29,up
AT5G58670,390.125909187018,3.13406789818294,0.272078970734179,11.5189641070971,1.0587617694189599e-30,3.890045681592e-29,up
AT4G37770,183.060806729274,6.97543236163689,0.606189086559711,11.5070239901948,1.2160265149469999e-30,4.46060635255557e-29,up
AT4G28720,662.472238088048,2.88164884393366,0.250493490942477,11.5038871193479,1.26105464002891e-30,4.61828049369419e-29,up
AT1G56300,468.641034523138,3.52852134451304,0.306903294998191,11.4971764787792,1.3630152233512599e-30,4.98360711761248e-29,up
AT1G15670,3078.33876849274,2.30979445873144,0.200948012690759,11.4944876926253,1.4061277295157798e-30,5.13293411569282e-29,up
AT2G46140,3704.21904957078,2.48970045917129,0.216643345680862,11.4921621587163,1.4445056269195298e-30,5.264524055786069e-29,up
AT4G04460,1125.66669201413,2.74450933965251,0.238972547674769,11.4846218377672,1.5762365147764798e-30,5.7353688064234e-29,up
AT5G22140,2894.17070290867,3.15678669809242,0.275007328451066,11.4789184560008,1.68373483177978e-30,6.11666756573889e-29,up
AT4G35480,312.848358523254,3.84951464152458,0.335471025409137,11.4749541687833,1.7627104791783e-30,6.39329149077254e-29,up
AT1G71950,2071.80044619831,2.81410065759998,0.245406184764381,11.467113839457,1.92988965649784e-30,6.98842735227969e-29,up
AT1G18830,214.915697895584,7.6330571972651,0.666674199749024,11.4494564213504,2.3662465131646798e-30,8.55483299383507e-29,up
AT4G20240,389.031027427784,-4.09911959317705,0.358852078861311,-11.4228670659625,3.2145130266619494e-30,1.16030569249926e-28,down
AT2G46750,936.947916941741,-4.09271060260232,0.358495465885745,-11.4163524843762,3.4647202673931894e-30,1.24862550497634e-28,down
AT3G20040,591.493764699852,2.85501410569068,0.250286267428652,11.4069946186901,3.8583078117782e-30,1.3882535559703898e-28,up
AT3G06760,1120.99161302283,2.61830529442213,0.229695500833182,11.3990273423931,4.2281645212446695e-30,1.51891264740929e-28,up
AT4G25480,167.785150203954,5.69990103161946,0.500283151895648,11.3933499659577,4.5129869191649296e-30,1.61865797500715e-28,up
AT5G01820,2563.78773670021,2.3023377518438,0.202178864843418,11.3876282450537,4.81929323514559e-30,1.7257805062020599e-28,up
AT5G05960,428.164341177727,-3.66771531011318,0.322115569482892,-11.3863335324062,4.8914176289630296e-30,1.7488365940514e-28,down
AT1G47710,1751.53634180464,2.5149778725057,0.220964999519324,11.3817929444783,5.1529297146380394e-30,1.8394249578508898e-28,up
AT4G37850,625.883330817423,3.11581187543328,0.273762938039345,11.3814232771913,5.174821438785589e-30,1.8443259500126099e-28,up
AT4G25350,559.312204126419,3.43298696513822,0.301651333601387,11.3806457413999,5.2211688678188e-30,1.85791388562573e-28,up
AT1G02230,421.417042400744,3.12322109499861,0.274816181447998,11.3647641799783,6.2633379993758495e-30,2.22525763260844e-28,up
AT1G67560,1506.90170518181,2.40849371061491,0.212054826919855,11.3578820421059,6.77676718381809e-30,2.4038906010291e-28,up
AT2G31945,410.776806502282,3.07758313089607,0.271013160335838,11.3558438530526,6.93668775770084e-30,2.45676170177129e-28,up
AT2G27500,1338.94276508674,2.52473851444339,0.222558343719441,11.3441647356349,7.92796223379226e-30,2.80344655140485e-28,up
AT5G64300,2249.49008724096,2.29188968725378,0.202093103015263,11.3407615255464,8.24240662168914e-30,2.9100846878701197e-28,up
AT5G54860,1269.88429255184,2.57671575977364,0.227270563560475,11.3376572812871,8.54000593768898e-30,3.01045201510172e-28,up
AT3G19010,3497.09402958225,2.22599221809674,0.196472162995322,11.3298097000629,9.34074602126949e-30,3.2875934127197096e-28,up
AT5G53590,815.505669253527,2.59129668242881,0.2290783267795,11.3118369548904,1.1466343802701e-29,4.02944797147483e-28,up
AT3G49550,509.954742619311,3.29996572479647,0.291748880292822,11.3109799135626,1.1578907110776999e-29,4.06268610365087e-28,up
AT5G66070,710.707145775512,2.74807244865467,0.243015510703346,11.3082183137244,1.19491265361764e-29,4.1860847009526e-28,up
AT4G02940,4138.88951081986,2.36100649781495,0.208791022893371,11.307988557634,1.19804517413557e-29,4.19056172674418e-28,up
AT1G11100,557.806386239706,2.91865433972409,0.258313132496908,11.2989003366255,1.32871367266268e-29,4.64043495324359e-28,up
AT5G50960,2191.22983947475,2.76044466771184,0.244314911815583,11.298715445562,1.3315137811765e-29,4.6430378702877e-28,up
AT1G78340,5670.33428858586,2.57655238617956,0.228124099973622,11.2945207739011,1.39663782882505e-29,4.8551428277124495e-28,up
AT2G33770,1955.5138168289,-2.47257340574017,0.218916556681287,-11.2945929865867,1.39549039354113e-29,4.8551428277124495e-28,down
AT3G25190,775.621316993373,-3.72219183731203,0.33004213032863,-11.2779293770943,1.68669310421724e-29,5.85445735528308e-28,down
AT5G66650,1038.36145721968,2.61901101839545,0.232699916187951,11.2548859548367,2.19109354201863e-29,7.59355056371976e-28,up
AT1G69810,2017.58980984794,2.29128258486341,0.20373701663522,11.2462753342748,2.41579624797438e-29,8.3594689156553e-28,up
AT3G10820,716.300762523278,2.78662491520111,0.247916460301933,11.2401770814545,2.58862568404787e-29,8.94382048268282e-28,up
AT4G24050,906.384369864754,3.01001946621779,0.268303268594952,11.2187208228235,3.3000928923510297e-29,1.1384564732147199e-27,up
AT2G27430,675.366105807075,3.28952005253789,0.293296941797407,11.215664344738,3.4161153185949e-29,1.1766850874843e-27,up
AT1G26730,305.947857929516,3.55341598202416,0.317080391727667,11.2066721081766,3.78144913862776e-29,1.30054223343124e-27,up
AT2G38940,1570.04430384029,2.57099558213023,0.229623311130346,11.1965791690496,4.2378320759914997e-29,1.45528956822346e-27,up
AT3G15670,398.05919041159,9.11383803586311,0.814096231171738,11.1950377447952,4.31218566785092e-29,1.47857583233322e-27,up
AT5G38030,408.158067340833,-3.89698198245064,0.348736187016448,-11.174584478286,5.43039213359498e-29,1.85916879773806e-27,down
AT3G05580,1356.29258644224,2.34484337700265,0.210069888105852,11.1622060550683,6.24230631844821e-29,2.13390550032762e-27,up
AT3G50400,503.856370111995,-8.53848931301031,0.766328239065683,-11.142078391135,7.827108769360459e-29,2.67162159746932e-27,down
AT4G33985,315.533518472627,3.26926417642861,0.293706287983939,11.1310663413763,8.85695619146824e-29,3.01857891557189e-27,up
AT3G46930,723.837684620867,2.61600666966424,0.235150190490676,11.1248332999669,9.49832584213267e-29,3.23229172784382e-27,up
AT1G70750,1068.72928600642,2.66401318545831,0.239623832776518,11.1174800711199,1.03144195770538e-28,3.50473119944523e-27,up
AT2G34600,200.623484429717,4.14946931220242,0.373458243863634,11.1109324278769,1.10994402875714e-28,3.76581010117061e-27,up
AT5G42570,2713.98845632995,2.53425174822082,0.228150212698099,11.1078211072031,1.1492966204815e-28,3.89347922584707e-27,up
AT4G06744,916.13610259407,-2.77329588687587,0.249844037729949,-11.1001083398815,1.25291918603875e-28,4.23183287410038e-27,down
